filename,datetime,fits_url,fov,exposure,filter,target,telescope,site,user,is_calibration,session_id,filepath,download_status,file_size
Dark-C-260806124514,2026-08-06 12:45:14,https://mo-www.cfa.harvard.edu/ImageDirectory/Dark-C-260806124514.FITS,Main,60.00,Opaque,Calibration,Cecilia,AZ,moguest,True,,calibration\2026-08-06\Dark-C-260806124514.fits,already_exists,656640
Dark-C-260806125119,2026-08-06 12:51:19,https://mo-www.cfa.harvard.edu/ImageDirectory/Dark-C-260806125119.FITS,Main,60.00,Opaque,Calibration,Cecilia,AZ,moguest,True,,calibration\2026-08-06\Dark-C-260806125119.fits,already_exists,656640
Dark-C-260807123949,2026-08-07 12:39:49,https://mo-www.cfa.harvard.edu/ImageDirectory/Dark-C-260807123949.FITS,Main,60.00,Opaque,Calibration,Cecilia,AZ,moguest,True,,calibration\2026-08-07\Dark-C-260807123949.fits,already_exists,656640
Dark-C-260807124553,2026-08-07 12:45:53,https://mo-www.cfa.harvard.edu/ImageDirectory/Dark-C-260807124553.FITS,Main,60.00,Opaque,Calibration,Cecilia,AZ,moguest,True,,calibration\2026-08-07\Dark-C-260807124553.fits,already_exists,656640
Dark-C-260808123758,2026-08-08 12:37:58,https://mo-www.cfa.harvard.edu/ImageDirectory/Dark-C-260808123758.FITS,Main,60.00,Opaque,Calibration,Cecilia,AZ,moguest,True,,calibration\2026-08-08\Dark-C-260808123758.fits,already_exists,656640
Dark-C-260808124401,2026-08-08 12:44:01,https://mo-www.cfa.harvard.edu/ImageDirectory/Dark-C-260808124401.FITS,Main,60.00,Opaque,Calibration,Cecilia,AZ,moguest,True,,calibration\2026-08-08\Dark-C-260808124401.fits,already_exists,656640
Dark-C-260809052054,2026-08-09 05:20:54,https://mo-www.cfa.harvard.edu/ImageDirectory/Dark-C-260809052054.FITS,Main,60.00,Opaque,Calibration,Cecilia,AZ,moguest,True,,calibration\2026-08-09\Dark-C-260809052054.fits,already_exists,656640
Dark-C-260809052457,2026-08-09 05:24:57,https://mo-www.cfa.harvard.edu/ImageDirectory/Dark-C-260809052457.FITS,Main,60.00,Opaque,Calibration,Cecilia,AZ,moguest,True,,calibration\2026-08-09\Dark-C-260809052457.fits,already_exists,656640
Dark-C-260810123529,2026-08-10 12:35:29,https://mo-www.cfa.harvard.edu/ImageDirectory/Dark-C-260810123529.FITS,Main,60.00,Opaque,Calibration,Cecilia,AZ,moguest,True,,calibration\2026-08-10\Dark-C-260810123529.fits,already_exists,656640
Dark-C-260810124133,2026-08-10 12:41:33,https://mo-www.cfa.harvard.edu/ImageDirectory/Dark-C-260810124133.FITS,Main,60.00,Opaque,Calibration,Cecilia,AZ,moguest,True,,calibration\2026-08-10\Dark-C-260810124133.fits,downloaded,656640
Dark-C-260811065634,2026-08-11 06:56:34,https://mo-www.cfa.harvard.edu/ImageDirectory/Dark-C-260811065634.FITS,Main,60.00,Opaque,Calibration,Cecilia,AZ,moguest,True,,calibration\2026-08-11\Dark-C-260811065634.fits,downloaded,656640
Dark-C-260811070036,2026-08-11 07:00:36,https://mo-www.cfa.harvard.edu/ImageDirectory/Dark-C-260811070036.FITS,Main,60.00,Opaque,Calibration,Cecilia,AZ,moguest,True,,calibration\2026-08-11\Dark-C-260811070036.fits,downloaded,656640
Dark-C-260812132017,2026-08-12 13:20:17,https://mo-www.cfa.harvard.edu/ImageDirectory/Dark-C-260812132017.FITS,Main,60.00,Opaque,Calibration,Cecilia,AZ,moguest,True,,calibration\2026-08-12\Dark-C-260812132017.fits,downloaded,656640
Dark-C-260812132634,2026-08-12 13:26:34,https://mo-www.cfa.harvard.edu/ImageDirectory/Dark-C-260812132634.FITS,Main,60.00,Opaque,Calibration,Cecilia,AZ,moguest,True,,calibration\2026-08-12\Dark-C-260812132634.fits,downloaded,656640
Dark-C-260813131225,2026-08-13 13:12:25,https://mo-www.cfa.harvard.edu/ImageDirectory/Dark-C-260813131225.FITS,Main,60.00,Opaque,Calibration,Cecilia,AZ,moguest,True,,calibration\2026-08-13\Dark-C-260813131225.fits,downloaded,656640
Dark-C-260813131845,2026-08-13 13:18:45,https://mo-www.cfa.harvard.edu/ImageDirectory/Dark-C-260813131845.FITS,Main,60.00,Opaque,Calibration,Cecilia,AZ,moguest,True,,calibration\2026-08-13\Dark-C-260813131845.fits,downloaded,656640
Dark-C-260814041126,2026-08-14 04:11:26,https://mo-www.cfa.harvard.edu/ImageDirectory/Dark-C-260814041126.FITS,Main,60.00,Opaque,Calibration,Cecilia,AZ,moguest,True,,calibration\2026-08-14\Dark-C-260814041126.fits,downloaded,656640
Dark-C-260814041518,2026-08-14 04:15:18,https://mo-www.cfa.harvard.edu/ImageDirectory/Dark-C-260814041518.FITS,Main,60.00,Opaque,Calibration,Cecilia,AZ,moguest,True,,calibration\2026-08-14\Dark-C-260814041518.fits,downloaded,656640
Dark-C-260815125751,2026-08-15 12:57:51,https://mo-www.cfa.harvard.edu/ImageDirectory/Dark-C-260815125751.FITS,Main,60.00,Opaque,Calibration,Cecilia,AZ,moguest,True,,calibration\2026-08-15\Dark-C-260815125751.fits,downloaded,656640
Dark-C-260815130350,2026-08-15 13:03:50,https://mo-www.cfa.harvard.edu/ImageDirectory/Dark-C-260815130350.FITS,Main,60.00,Opaque,Calibration,Cecilia,AZ,moguest,True,,calibration\2026-08-15\Dark-C-260815130350.fits,downloaded,656640
Dark-C-260816105136,2026-08-16 10:51:36,https://mo-www.cfa.harvard.edu/ImageDirectory/Dark-C-260816105136.FITS,Main,60.00,Opaque,Calibration,Cecilia,AZ,moguest,True,,calibration\2026-08-16\Dark-C-260816105136.fits,downloaded,656640
Dark-C-260816105416,2026-08-16 10:54:16,https://mo-www.cfa.harvard.edu/ImageDirectory/Dark-C-260816105416.FITS,Main,60.00,Opaque,Calibration,Cecilia,AZ,moguest,True,,calibration\2026-08-16\Dark-C-260816105416.fits,downloaded,656640
Dark-C-260817143529,2026-08-17 14:35:29,https://mo-www.cfa.harvard.edu/ImageDirectory/Dark-C-260817143529.FITS,Main,60.00,Opaque,Calibration,Cecilia,AZ,moguest,True,,calibration\2026-08-17\Dark-C-260817143529.fits,downloaded,656640
Dark-C-260817144151,2026-08-17 14:41:51,https://mo-www.cfa.harvard.edu/ImageDirectory/Dark-C-260817144151.FITS,Main,60.00,Opaque,Calibration,Cecilia,AZ,moguest,True,,calibration\2026-08-17\Dark-C-260817144151.fits,downloaded,656640
Dark-C-260818123305,2026-08-18 12:33:05,https://mo-www.cfa.harvard.edu/ImageDirectory/Dark-C-260818123305.FITS,Main,60.00,Opaque,Calibration,Cecilia,AZ,moguest,True,,calibration\2026-08-18\Dark-C-260818123305.fits,downloaded,656640
Dark-C-260818123900,2026-08-18 12:39:00,https://mo-www.cfa.harvard.edu/ImageDirectory/Dark-C-260818123900.FITS,Main,60.00,Opaque,Calibration,Cecilia,AZ,moguest,True,,calibration\2026-08-18\Dark-C-260818123900.fits,downloaded,656640
Dark-C-260819131908,2026-08-19 13:19:08,https://mo-www.cfa.harvard.edu/ImageDirectory/Dark-C-260819131908.FITS,Main,60.00,Opaque,Calibration,Cecilia,AZ,moguest,True,,calibration\2026-08-19\Dark-C-260819131908.fits,downloaded,656640
Dark-C-260819132516,2026-08-19 13:25:17,https://mo-www.cfa.harvard.edu/ImageDirectory/Dark-C-260819132516.FITS,Main,60.00,Opaque,Calibration,Cecilia,AZ,moguest,True,,calibration\2026-08-19\Dark-C-260819132516.fits,downloaded,656640
Dark-C-260820122815,2026-08-20 12:28:15,https://mo-www.cfa.harvard.edu/ImageDirectory/Dark-C-260820122815.FITS,Main,60.00,Opaque,Calibration,Cecilia,AZ,moguest,True,,calibration\2026-08-20\Dark-C-260820122815.fits,downloaded,656640
